stock1,stock2,correlation,adf_p_value,total_return,sharpe_ratio,max_drawdown,test_sharpe
AMG,BK,0.8475058413596521,0.012670347765466465,7.839785874672206,1.4092892174185994,-0.3919858700763803,1.403685568068237
HIG,WFC,0.8706522292089527,0.027430055064926677,1.7536080148386368,1.389648170652256,-0.14033006425540895,2.127280084556415
ALL,CB,0.8337194689518254,0.04846512603175992,0.5233682043028272,1.3641183288358478,-0.06548020762059781,1.702521945155834
GL,RJF,0.8226774801642631,0.017126956603552543,0.5709360597411492,1.360929952012655,-0.062685242695243,1.1852292503850377
JPM,OMF,0.9281670623411395,0.00415005419309533,3.4840883890028813,1.357700174313226,-0.32910545069696806,1.149515878198136
ALL,AXP,0.8138901303320396,0.029580923628036594,0.7772241475738346,1.3388970248231122,-0.0938766867595443,1.8098683954280834
BK,COF,0.8736103857455363,0.03056349175009424,0.7619027708259372,1.3312142870856867,-0.08913296728280429,0.8601852215647493
BEN,COF,0.8697443626841462,0.02100542688162909,0.7268598042822529,1.3300747339547883,-0.17866891188935696,1.261029869427383
HBAN,PNC,0.9332431779808605,0.014698450604037658,1.3417259576385594,1.3270115952123194,-0.0990954125092619,1.1572291062157027
ALL,HIG,0.8614199762609481,0.03667250193150709,0.819024571469211,1.324102212808769,-0.09019963915098073,1.3057585232865312
BLK,SYF,0.9089319160250512,7.890975299514328e-05,-921.9494953322802,1.3207927605542245,-70.25426161429631,1.370772769145847
BEN,SYF,0.8853769211116908,0.017715342538972403,0.8214383604959765,1.3146788759111672,-0.10980067450185438,1.090829276817051
AMG,CINF,0.8033168135504313,0.04285824254909918,1.6749420966296968,1.313347282714321,-0.17277162904917198,1.2849252753229032
STT,SYF,0.8654789906704208,0.0074846926213864035,1.0794597330906148,1.3065676141758007,-0.09374929820763434,0.9710459214522595
AXP,WFC,0.9012838272169408,0.00031971774496049256,6.842168533114894,1.2866453391927428,-0.45062009715070495,1.7460304950472463
GS,NDAQ,0.9164916538372568,0.019175985253851134,7.3156241850790185,1.2836690840482432,-0.3919699751107849,0.6077885302906301
BEN,STT,0.8966416454975601,0.0002185322065681811,0.8792581611533361,1.2824653156911157,-0.10314377184313905,0.9649161061235146
BEN,JPM,0.8882638126370941,0.013661201027398998,0.8379817674740031,1.2661704874529474,-0.12689455667612137,1.2284253788193789
MS,STT,0.8201934800804375,0.02273747224703789,0.7874508232408592,1.2635287762307723,-0.07258519104402406,1.1070663897485338
AIG,HIG,0.9760552218633058,0.000692677973582594,0.5775155761317097,1.2607056577717572,-0.06161424644358582,1.211952881204482
BRK-B,MA,0.8094416810762312,0.034374127229885,0.7606633018736089,1.2477477476016043,-0.10139186472515493,0.6250586732998342
HIG,VCTR,0.9011253429920381,0.005015993794533656,2.5329080480763775,1.2421117765111032,-0.23783444567248135,1.048876569433123
AXP,BEN,0.8656484288797959,0.04323400778805998,20.370130529396594,1.2229715763898423,-0.732582134364187,0.7170939521364458
BK,BLK,0.8507841795677887,0.0025751259093806664,0.8164755416722076,1.213561010331414,-0.108755578523697,1.2378881410704492
HBAN,SCHW,0.9214200663749694,0.0018334968347672733,1.270458350260598,1.211060007056608,-0.1433726731176692,-0.10358399161688288
HIG,TRV,0.9527075639866648,0.02899230902167721,0.5324909177332262,1.2097438883262317,-0.06366890266620573,1.0895716368409345
BK,GS,0.8698323785816184,0.00398812792537993,0.6406758468233165,1.1882764656608693,-0.1267648634467864,1.2019869896238384
MA,V,0.9604021011464099,0.005780574052722369,0.6458113173926194,1.185972903114024,-0.08490376704749902,0.865364980098731
ALL,PRU,0.876438761963657,0.018201520748734518,0.6262613186702841,1.1724569288161082,-0.06959305970197549,1.7186721592724772
BEN,SCHW,0.8318596274296064,0.01903599812255288,0.9297632268432092,1.1724337775742069,-0.15308816189186036,1.0221993229663862
AMG,MS,0.9409481202295359,0.0258042013753212,0.8130845440837369,1.168311158014522,-0.1590930868881668,1.1612571761122452
BK,ICE,0.8254304514582779,0.0015805014376679067,0.7620167980571577,1.165514620850903,-0.07344201852895593,0.8985291497402226
MS,WFC,0.8377802163853254,0.0001262352489441852,1.5985746697325443,1.1637734028340716,-0.2271554785056661,0.35130555795128804
BK,OMF,0.854693216468616,0.004125892041456551,0.6889808957529824,1.1520930014973045,-0.08378462771678696,1.053895142320007
BAC,PNC,0.9814401506648157,0.0002733612013322605,0.5056628685712232,1.1425702693165256,-0.06338812812379568,0.6227629089913561
ICE,STT,0.8035784043052417,0.0039300182977959645,0.6998921304713124,1.137997148368026,-0.09404768562007948,0.9916456792041574
